name,position,age,club,nation,appearances,goals,assists
Juan Jesus,DF,33.0,Napoli,br BRA,11,0,1
Alejandro Jiménez,"DF,FW",19.0,Milan,es ESP,13,0,0
Raúl Jiménez,FW,33.0,Fulham,mx MEX,28,10,3
Kim Jisoo,DF,20.0,Brentford,kr KOR,3,0,0
João Pedro,"FW,MF",23.0,Brighton,br BRA,22,8,6
John Joe,"MF,FW",21.0,Getafe,ie IRL,4,0,0
John Joe,MF,21.0,Reims,ie IRL,6,0,0
Joelinton,"MF,FW",28.0,Newcastle Utd,br BRA,23,4,1
Jofre,"MF,FW",23.0,Espanyol,es ESP,24,2,3
Þórir Jóhann Helgason,MF,24.0,Lecce,is ISL,11,0,2
Carl Johansson,DF,30.0,Holstein Kiel,se SWE,5,0,0
Ben Johnson,"DF,FW",25.0,Ipswich Town,eng ENG,17,0,1
Brennan Johnson,FW,23.0,Tottenham,wls WAL,25,9,2
Karl-Johan Johnsson,GK,35.0,Strasbourg,se SWE,3,0,0
Sam Johnstone,GK,31.0,Wolves,eng ENG,7,0,0
Paul Joly,DF,24.0,Auxerre,fr FRA,18,0,1
Curtis Jones,"MF,FW",24.0,Liverpool,eng ENG,24,3,3
Frenkie de Jong,MF,27.0,Barcelona,nl NED,15,2,1
Joan Jordán,MF,30.0,Alavés,es ESP,16,4,2
Jorginho,MF,33.0,Arsenal,it ITA,12,0,0
Jesse Joronen,GK,31.0,Venezia,fi FIN,8,0,0
Jota,"FW,MF",25.0,Rennes,pt POR,9,1,0
Diogo Jota,FW,28.0,Liverpool,pt POR,18,5,3
Antoine Joujou,"MF,FW",21.0,Le Havre,fr FRA,19,0,2
Luka Jović,FW,27.0,Milan,rs SRB,7,0,0
Juanmi,"FW,MF",31.0,Getafe,es ESP,6,0,0
Juanmi,"FW,MF",31.0,Betis,es ESP,11,0,0
Juanpe,DF,33.0,Girona,es ESP,8,0,0
Jubal,DF,31.0,Auxerre,br BRA,22,5,0
Anthony Jung,DF,33.0,Werder Bremen,de GER,24,0,0
Luiz Lúcio Reis Júnior,GK,24.0,Villarreal,br BRA,7,0,0
Hamed Junior Traorè,MF,25.0,Auxerre,ci CIV,22,10,2
Vinicius Júnior,FW,24.0,Real Madrid,br BRA,21,10,5
Josip Juranović,"DF,MF",29.0,Union Berlin,hr CRO,11,0,0
David Jurásek,DF,24.0,Hoffenheim,cz CZE,9,0,0
Stanko Jurić,MF,28.0,Valladolid,hr CRO,21,0,0
James Justin,DF,27.0,Leicester City,eng ENG,26,2,1
Filip Jørgensen,GK,22.0,Chelsea,dk DEN,6,0,0
Mohamed Kaba,MF,23.0,Lecce,fr FRA,9,0,0
Yusuf Kabadayı,"FW,MF",21.0,Augsburg,de GER,5,1,0
Almugera Kabar,DF,18.0,Dortmund,de GER,4,0,0
Christian Kabasele,DF,34.0,Udinese,be BEL,13,1,0
Issa Kaboré,"DF,FW",23.0,Werder Bremen,bf BFA,8,0,0
Yaya Kader Fofana,"MF,FW",20.0,Reims,ml MLI,12,1,1
Pavel Kadeřábek,DF,32.0,Hoffenheim,cz CZE,17,0,0
Tino Kadewere,"MF,FW",29.0,Nantes,zw ZIM,8,1,2
Ferdi Kadioglu,"DF,MF",25.0,Brighton,tr TUR,6,1,0
Arnaud Kalimuendo,FW,23.0,Rennes,fr FRA,24,11,0
Pierre Kalulu,DF,24.0,Juventus,fr FRA,21,1,0
Justin-Noël Kalumba,"FW,MF",20.0,Angers,fr FRA,2,0,0
Daichi Kamada,MF,28.0,Crystal Palace,jp JPN,24,0,0
Waren Kamanzi,"DF,MF",24.0,Toulouse,no NOR,19,0,1
Boubacar Kamara,MF,25.0,Aston Villa,fr FRA,17,0,0
Glen Kamara,MF,29.0,Rennes,fi FIN,13,0,1
Hassane Kamara,DF,31.0,Udinese,ci CIV,21,1,3
Willy Kambwala,DF,20.0,Villarreal,fr FRA,9,0,0
Jakub Kamiński,"DF,MF",22.0,Wolfsburg,pl POL,14,0,1
Kevin Kampl,MF,34.0,RB Leipzig,si SVN,22,1,0
Nordine Kandil,MF,23.0,Strasbourg,fr FRA,1,0,0
Harry Kane,FW,31.0,Bayern Munich,eng ENG,23,21,7
Lee Kang-in,"FW,MF",24.0,Paris S-G,kr KOR,25,6,5
Yann Karamoh,"MF,FW",26.0,Torino,fr FRA,23,0,1
Atakan Karazor,MF,28.0,Stuttgart,,23,1,2
Jesper Karlsson,FW,26.0,Bologna,se SWE,7,1,0
Jesper Karlsson,FW,26.0,Lecce,se SWE,8,0,0
Jesper Karlström,MF,29.0,Udinese,se SWE,26,0,2
Lior Kasa,"MF,FW",19.0,Genoa,il ISR,5,0,0
Grigoris Kastanos,"MF,FW",27.0,Hellas Verona,cy CYP,20,1,1
Mikkel Kaufmann,FW,24.0,Heidenheim,dk DEN,9,0,0
Michael Kayode,DF,20.0,Brentford,it ITA,4,0,0
Michael Kayode,"DF,FW",20.0,Fiorentina,it ITA,5,0,0
Moise Kean,FW,25.0,Fiorentina,it ITA,25,15,3
Michael Keane,DF,32.0,Everton,eng ENG,10,2,0
Yassine Kechta,"MF,FW",23.0,Le Havre,ma MAR,22,1,0
Thilo Kehrer,DF,28.0,Monaco,de GER,21,4,0
Abdoulaye Keita,"FW,MF",22.0,Getafe,es ESP,3,0,0
Mandela Keita,MF,22.0,Parma,be BEL,20,0,1
Yannik Keitel,MF,25.0,Stuttgart,de GER,8,0,0
Andu Kelati,"MF,DF",22.0,Holstein Kiel,de GER,8,1,1
Caoimhín Kelleher,GK,26.0,Liverpool,ie IRL,8,0,0
Thomas Keller,"DF,MF",25.0,Heidenheim,de GER,3,0,0
Lloyd Kelly,DF,26.0,Newcastle Utd,eng ENG,10,0,1
Lloyd Kelly,DF,26.0,Juventus,eng ENG,4,0,0
Aljoscha Kemlein,MF,20.0,Union Berlin,de GER,15,1,0
Marc-Oliver Kempf,DF,30.0,Como,de GER,22,0,0
Kenedy,"MF,FW",29.0,Valladolid,br BRA,2,0,0
Luca Kerber,MF,23.0,Heidenheim,de GER,16,1,0
Milos Kerkez,DF,21.0,Bournemouth,hu HUN,28,2,5
Reda Khadra,"MF,FW",23.0,Reims,de GER,4,0,0
Bilal El Khannouss,MF,20.0,Leicester City,ma MAR,23,2,1
Wahbi Khazri,"FW,MF",34.0,Montpellier,tn TUN,24,1,1
Rani Khedira,MF,31.0,Union Berlin,de GER,23,0,0
Abdukodir Khusanov,DF,21.0,Manchester City,uz UZB,5,0,0
Abdukodir Khusanov,DF,21.0,Lens,uz UZB,13,0,0
Kialonda,DF,27.0,Lecce,ao ANG,15,0,1
Kiké,FW,35.0,Alavés,es ESP,26,11,0
Max Kilman,DF,27.0,West Ham,eng ENG,27,0,1
Joshua Kimmich,MF,30.0,Bayern Munich,de GER,24,1,6
Joshua King,"MF,FW",18.0,Fulham,eng ENG,5,0,0
Joshua King,"FW,MF",33.0,Toulouse,no NOR,19,4,2
Antonín Kinský,GK,21.0,Tottenham,cz CZE,4,0,0
Cédric Kipré,DF,28.0,Reims,ci CIV,20,0,1
Jakub Kiwior,DF,25.0,Arsenal,pl POL,8,0,0
Tim Kleindienst,FW,29.0,Gladbach,de GER,24,14,5
Lukas Klostermann,DF,28.0,RB Leipzig,de GER,20,0,0
Justin Kluivert,"MF,FW",25.0,Bournemouth,nl NED,27,12,6
Ansgar Knauff,"MF,DF",23.0,Eint Frankfurt,de GER,23,1,4
Magnus Knudsen,MF,23.0,Holstein Kiel,no NOR,22,0,1
Gregor Kobel,GK,27.0,Dortmund,ch SUI,23,0,0
Robin Koch,DF,28.0,Eint Frankfurt,de GER,21,1,0
Hervé Koffi,GK,28.0,Lens,bf BFA,5,0,0
Magnus Kofod Andersen,MF,25.0,Venezia,dk DEN,14,1,1
Derrick Köhn,"DF,FW",26.0,Werder Bremen,de GER,22,2,2
Philipp Köhn,GK,26.0,Monaco,ch SUI,10,0,0
Dominik Kohr,"DF,MF",31.0,Mainz 05,de GER,23,1,0
Koka,FW,32.0,Le Havre,eg EGY,8,2,0
Koke,MF,33.0,Atlético Madrid,es ESP,23,1,1
Sead Kolašinac,DF,31.0,Atalanta,ba BIH,19,0,2
Randal Kolo Muani,FW,26.0,Juventus,fr FRA,7,5,1
Randal Kolo Muani,FW,26.0,Paris S-G,fr FRA,10,2,1
Marco Komenda,DF,28.0,Holstein Kiel,hr CRO,15,0,0
Mert Kömür,MF,19.0,Augsburg,de GER,13,1,1
Ibrahima Konaté,DF,25.0,Liverpool,fr FRA,23,1,2
Ismael Konate,"FW,MF",18.0,Empoli,ci CIV,7,0,0
Geoffrey Kondogbia,"DF,MF",32.0,Marseille,cf CTA,18,0,0
Abdoul Koné,DF,19.0,Reims,fr FRA,3,0,0
Amadou Koné,MF,19.0,Reims,ml MLI,15,0,0
Ismaël Koné,"MF,FW",22.0,Marseille,ca CAN,8,0,0
Ismaël Koné,MF,22.0,Rennes,ca CAN,5,0,0
Manu Koné,MF,23.0,Roma,fr FRA,24,2,1
Ezri Konsa,DF,27.0,Aston Villa,eng ENG,25,1,0
Teun Koopmeiners,"MF,FW",27.0,Juventus,nl NED,24,2,3
Odilon Kossounou,DF,24.0,Atalanta,ci CIV,12,0,0
Christian Kouamé,"FW,MF",27.0,Fiorentina,ci CIV,18,0,1
Christian Kouamé,"FW,MF",27.0,Empoli,ci CIV,5,0,0
Henri Koudossou,DF,25.0,Augsburg,de GER,15,0,0
Konstantinos Koulierakis,DF,21.0,Wolfsburg,gr GRE,23,0,2
Emmanuel Koum Mbondo,DF,19.0,Marseille,fr FRA,1,0,0
Jules Koundé,DF,26.0,Barcelona,fr FRA,26,2,3
Boubakar Kouyaté,DF,27.0,Montpellier,ml MLI,9,0,0
Mateo Kovačić,MF,30.0,Manchester City,hr CRO,24,4,1
Viktor Kovalenko,"MF,DF",29.0,Empoli,ua UKR,3,0,0
Matej Kovar,GK,24.0,Leverkusen,cz CZE,3,0,0
Mateusz Kowalski,MF,19.0,Parma,pl POL,1,0,0
Goduine Koyalipou,FW,25.0,Lens,cf CTA,7,1,0
Caleb Kporha,DF,18.0,Crystal Palace,eng ENG,2,0,0
Emil Krafth,DF,30.0,Newcastle Utd,se SWE,4,0,0
Alex Král,MF,26.0,Espanyol,cz CZE,25,0,1
Andrej Kramarić,"MF,FW",33.0,Hoffenheim,hr CRO,23,7,5
Frans Krätzig,"MF,FW",22.0,Heidenheim,de GER,8,1,1
Frans Krätzig,DF,22.0,Stuttgart,de GER,1,0,0
Tom Krauß,MF,23.0,Bochum,de GER,6,0,0
Ladislav Krejčí,DF,25.0,Girona,cz CZE,17,2,0
Rasmus Kristensen,DF,27.0,Eint Frankfurt,dk DEN,22,1,2
Thomas Kristensen,DF,23.0,Udinese,dk DEN,15,0,0
Nikola Krstović,FW,24.0,Lecce,me MNE,28,9,3
Lukas Kübler,DF,32.0,Freiburg,de GER,19,4,0
Takefusa Kubo,"MF,FW",23.0,Real Sociedad,jp JPN,25,5,0
Mohammed Kudus,"MF,FW",24.0,West Ham,gh GHA,22,3,1
Dejan Kulusevski,"MF,FW",24.0,Tottenham,se SWE,27,7,4
Sael Kumbedi,DF,19.0,Lyon,fr FRA,11,0,0
Marash Kumbulla,DF,25.0,Espanyol,al ALB,23,2,0
Daler Kuzyaev,MF,32.0,Le Havre,ru RUS,12,1,0
Khvicha Kvaratskhelia,"FW,MF",24.0,Napoli,ge GEO,17,5,3
Khvicha Kvaratskhelia,FW,24.0,Paris S-G,ge GEO,7,1,2
Moritz-Broni Kwarteng,"MF,FW",26.0,Bochum,gh GHA,7,0,0
Giorgos Kyriakopoulos,DF,29.0,Monza,gr GRE,25,2,3
Luca de la Torre,MF,26.0,Celta Vigo,us USA,1,0,0
Rémy Labeau Lascary,"FW,MF",22.0,Lens,gp GLP,14,2,1
Gaëtan Laborde,FW,30.0,Nice,fr FRA,19,9,3
Nediljko Labrović,GK,25.0,Augsburg,hr CRO,15,0,0
Alexandre Lacazette,FW,33.0,Lyon,fr FRA,22,9,2
Younes Lachaab,"MF,FW",20.0,Lille,fr FRA,2,0,0
Maxence Lacroix,DF,24.0,Crystal Palace,fr FRA,25,1,1
Alban Lafont,GK,26.0,Nantes,fr FRA,12,0,0
Yoel Lago,DF,20.0,Celta Vigo,es ESP,2,0,0
Konrad Laimer,DF,27.0,Bayern Munich,at AUT,21,1,1
Stefan Lainer,DF,32.0,Gladbach,at AUT,16,1,0
Kenny Lala,DF,33.0,Brest,mg MAD,22,3,1
Adam Lallana,MF,36.0,Southampton,eng ENG,14,0,2
Mathis Lambourde,"FW,MF",19.0,Hellas Verona,fr FRA,6,1,0
Mohamed Lamine Bayo,FW,26.0,Lille,gn GUI,12,2,1
Tariq Lamptey,DF,24.0,Brighton,gh GHA,13,2,2
Will Lankshear,"FW,MF",19.0,Tottenham,eng ENG,3,0,0
Gianluca Lapadula,"FW,MF",35.0,Cagliari,pe PER,12,0,0
Cyle Larin,FW,29.0,Mallorca,ca CAN,23,5,2
Gautier Larsonneur,GK,28.0,Saint-Étienne,fr FRA,25,0,0
Hugo Larsson,MF,20.0,Eint Frankfurt,se SWE,24,3,0
Juanmi Latasa,FW,23.0,Valladolid,es ESP,19,2,0
Toni Lato,DF,27.0,Mallorca,es ESP,7,0,0
Roméo Lavia,MF,21.0,Chelsea,be BEL,10,0,1
Valentino Lazaro,"DF,FW",28.0,Torino,at AUT,27,0,6
Darko Lazović,"DF,FW",34.0,Hellas Verona,rs SRB,24,1,3
Manuel Lazzari,DF,31.0,Lazio,it ITA,20,0,1
Julien Le Cardinal,DF,27.0,Brest,fr FRA,12,0,1
Jérémy Le Douaron,FW,26.0,Brest,fr FRA,2,0,0
Enzo Le Fée,MF,25.0,Roma,fr FRA,6,0,0
Robin Le Normand,DF,28.0,Atlético Madrid,es ESP,17,0,0
Nicola Leali,GK,32.0,Genoa,it ITA,21,0,0
Rafael Leão,FW,25.0,Milan,pt POR,26,6,7
Benjamin Lecomte,GK,33.0,Montpellier,fr FRA,22,0,0
Pierre Lees-Melou,MF,31.0,Brest,fr FRA,12,1,1
Jordan Lefort,DF,31.0,Angers,fr FRA,25,0,1
Diogo Leite,DF,26.0,Union Berlin,pt POR,24,0,1
Maxim Leitsch,DF,26.0,Mainz 05,de GER,14,1,0
Florian Lejeune,DF,33.0,Rayo Vallecano,fr FRA,27,0,2
Stefan Lekovic,DF,21.0,Monza,rs SRB,5,0,0
Iñigo Lekue,DF,31.0,Athletic Club,es ESP,10,0,0
Nunzio Lella,MF,24.0,Venezia,it ITA,1,0,0
Thomas Lemar,MF,29.0,Atlético Madrid,fr FRA,2,0,0
Félix Lemaréchal,"MF,FW",21.0,Strasbourg,fr FRA,18,2,1
Mario Lemina,"MF,DF",31.0,Wolves,ga GAB,17,1,3
Clément Lenglet,DF,29.0,Atlético Madrid,fr FRA,15,1,1
Bernd Leno,GK,33.0,Fulham,de GER,28,0,1
Donovan Léon,GK,32.0,Auxerre,gf GUF,23,0,2
Giovanni Leoni,DF,18.0,Parma,it ITA,9,1,0
Esteban Lepaul,FW,24.0,Angers,fr FRA,19,5,0
Johann Lepenant,MF,22.0,Nantes,fr FRA,21,2,1
Jefferson Lerma,MF,30.0,Crystal Palace,co COL,23,0,0
Louis Leroux,"MF,DF",19.0,Nantes,fr FRA,9,1,0
Robert Lewandowski,FW,36.0,Barcelona,pl POL,25,21,2
Jamie Leweling,"MF,FW",24.0,Stuttgart,de GER,19,2,1
Rico Lewis,"DF,MF",20.0,Manchester City,eng ENG,22,1,2
Keane Lewis-Potter,"DF,FW",24.0,Brentford,eng ENG,28,1,2
Myles Lewis-Skelly,DF,18.0,Arsenal,eng ENG,13,1,0
Ben Lhassine Kone,MF,24.0,Como,ci CIV,4,0,0
Mattia Liberali,MF,17.0,Milan,it ITA,1,0,0
Philipp Lienhart,DF,28.0,Freiburg,at AUT,23,1,0
Matthijs de Ligt,DF,25.0,Manchester Utd,nl NED,26,2,0
Pedro Lima,DF,18.0,Wolves,br BRA,3,0,0
Victor Lindelöf,DF,30.0,Manchester Utd,se SWE,7,0,0
Jesper Lindstrøm,FW,25.0,Everton,dk DEN,24,0,1
Karol Linetty,MF,30.0,Torino,pl POL,23,1,0
Samuel Lino,"MF,DF",25.0,Atlético Madrid,br BRA,23,3,2
Pol Lirola,DF,27.0,Marseille,es ESP,13,1,2
Dailon Livramento,"FW,MF",23.0,Hellas Verona,cv CPV,20,1,1
Valentino Livramento,DF,22.0,Newcastle Utd,eng ENG,26,0,0
Marin Ljubicic,"FW,MF",23.0,Union Berlin,hr CRO,5,1,1
Javier Llabrés,FW,22.0,Mallorca,es ESP,1,0,0
Diego Llorente,DF,31.0,Betis,es ESP,26,2,0
Marcos Llorente,"DF,MF",30.0,Atlético Madrid,es ESP,22,2,3
Gautier Lloris,DF,29.0,Le Havre,fr FRA,24,2,1
Giovani Lo Celso,"MF,FW",28.0,Betis,ar ARG,16,7,1
Stanislav Lobotka,MF,30.0,Napoli,sk SVK,24,0,1
Manuel Locatelli,MF,27.0,Juventus,it ITA,26,0,2
Ruben Loftus-Cheek,MF,29.0,Milan,eng ENG,13,0,0
Elysée Logbo,FW,20.0,Le Havre,fr FRA,1,0,0
Enzo Loiodice,MF,24.0,Las Palmas,fr FRA,15,0,0
Sean Longstaff,MF,27.0,Newcastle Utd,eng ENG,20,0,0
Ademola Lookman,"FW,MF",27.0,Atalanta,ng NGA,22,13,5
Anthony Lopes,GK,34.0,Nantes,pt POR,10,0,0
David López,DF,35.0,Girona,es ESP,23,1,0
Diego López,"MF,FW",22.0,Valencia,es ESP,27,5,4
Fer López,"FW,MF",,Celta Vigo,,7,0,0
Fermin López,"MF,FW",21.0,Barcelona,es ESP,17,3,2
Javi López,DF,22.0,Real Sociedad,es ESP,21,0,0
Pau López,GK,30.0,Girona,es ESP,1,0,0
Roberto López,MF,24.0,Leganés,es ESP,12,0,1
Unai López,MF,29.0,Rayo Vallecano,es ESP,21,3,0
Iker Losada,"FW,MF",23.0,Celta Vigo,es ESP,6,1,0
Iker Losada,"MF,FW",23.0,Betis,es ESP,10,0,0
Anthony Losilla,MF,39.0,Bochum,fr FRA,19,0,0
Jordan Lotomba,"MF,DF",26.0,Nice,ch SUI,2,0,0
Tom Louchet,"DF,MF",21.0,Nice,fr FRA,16,1,0
Sandi Lovrić,MF,26.0,Udinese,si SVN,26,2,3
Pol Lozano,MF,25.0,Espanyol,es ESP,19,0,0
Lorenzo Lucca,FW,24.0,Udinese,it ITA,26,10,0
Jhon Lucumí,DF,26.0,Bologna,co COL,23,0,1
Yannik Lührs,DF,21.0,Dortmund,de GER,3,0,0
José Luis Gayà,DF,29.0,Valencia,es ESP,14,0,1
José Luis Palomino,DF,35.0,Cagliari,ar ARG,9,1,0
Douglas Luiz,MF,26.0,Juventus,br BRA,15,0,0
Romelu Lukaku,FW,31.0,Napoli,be BEL,26,10,8
Castello Lukeba,DF,22.0,RB Leipzig,fr FRA,15,0,0
Dodi Lukebakio,FW,27.0,Sevilla,be BEL,27,11,1
Saša Lukić,MF,28.0,Fulham,rs SRB,22,0,2
Milos Lukovic,"FW,MF",19.0,Strasbourg,rs SRB,2,0,0
Joe Lumley,GK,30.0,Southampton,eng ENG,3,0,0
Daniel Luna,MF,21.0,Mallorca,co COL,2,0,0
Andriy Lunin,GK,26.0,Real Madrid,ua UKR,4,0,1
Massimo Luongo,MF,32.0,Ipswich Town,au AUS,7,0,0
Sebastiano Luperto,DF,28.0,Cagliari,it ITA,28,1,3
Zito Luvumbo,"FW,MF",23.0,Cagliari,ao ANG,18,1,1
Charalambos Lykogiannis,DF,31.0,Bologna,gr GRE,14,0,4
Senne Lynen,MF,26.0,Werder Bremen,be BEL,23,0,0
Mathias Løvik,"DF,FW",21.0,Parma,no NOR,4,0,0
Othmane Maamma,"FW,MF",19.0,Montpellier,ma MAR,8,1,1
Ian Maatsen,DF,23.0,Aston Villa,nl NED,22,0,1
Alexis Mac Allister,MF,26.0,Liverpool,ar ARG,28,3,3
Deiver Machado,DF,31.0,Lens,co COL,20,1,3
Shuto Machino,"FW,MF",25.0,Holstein Kiel,jp JPN,23,7,1
Darwin Machís,"FW,MF",32.0,Valladolid,ve VEN,11,0,0
Yvann Macon,DF,26.0,Saint-Étienne,fr FRA,8,0,0
James Maddison,MF,28.0,Tottenham,eng ENG,26,9,5
Eros Maddy,DF,24.0,Auxerre,nl NED,1,0,0
Noni Madueke,FW,23.0,Chelsea,eng ENG,23,7,3
Pablo Maffeo,DF,27.0,Mallorca,es ESP,21,0,1
Gabriel Magalhães,DF,27.0,Arsenal,br BRA,26,3,1
Soungoutou Magassa,MF,21.0,Monaco,fr FRA,16,0,1
Edmond-Paris Maghoma,"MF,FW",23.0,Brentford,eng ENG,7,0,0
Giangiacomo Magnani,DF,29.0,Hellas Verona,it ITA,17,1,0
Hugo Magnetti,MF,26.0,Brest,fr FRA,24,1,0
Frank Magri,FW,25.0,Toulouse,cm CMR,23,3,0
Harry Maguire,DF,32.0,Manchester Utd,eng ENG,20,1,0
Jon Magunazelaia,MF,24.0,Real Sociedad,es ESP,2,0,0
Arne Maier,MF,26.0,Augsburg,de GER,23,0,0
Mike Maignan,GK,29.0,Milan,fr FRA,27,0,0
Patrick Mainka,DF,30.0,Heidenheim,de GER,25,1,0
Kobbie Mainoo,MF,19.0,Manchester Utd,eng ENG,18,0,0
Ainsley Maitland-Niles,"DF,MF",27.0,Lyon,eng ENG,23,1,3
Radosław Majecki,GK,25.0,Monaco,pl POL,15,0,0
Lovro Majer,MF,27.0,Wolfsburg,hr CRO,4,2,0
Jordy Makengo,DF,23.0,Freiburg,fr FRA,12,0,0
Antoine Makoumbou,MF,26.0,Cagliari,cg CGO,24,0,1
Nikola Maksimović,DF,33.0,Montpellier,rs SRB,7,0,0
Tyrell Malacia,DF,25.0,Manchester Utd,nl NED,3,0,0
Jarzinho Malanga,DF,18.0,Stuttgart,de GER,1,0,0
Julián Malatini,DF,23.0,Werder Bremen,ar ARG,10,1,1
Daniel Maldini,"MF,FW",23.0,Monza,it ITA,20,3,0
Daniel Maldini,"FW,MF",23.0,Atalanta,it ITA,1,0,0
Youssef Maleh,MF,26.0,Empoli,ma MAR,22,0,1
Donyell Malen,FW,26.0,Aston Villa,nl NED,6,0,0
Donyell Malen,"FW,MF",26.0,Dortmund,nl NED,14,3,0
Ruslan Malinovskyi,"MF,FW",31.0,Genoa,ua UKR,6,0,0
Lennard Maloney,MF,25.0,Heidenheim,us USA,11,0,0
Lennard Maloney,MF,25.0,Mainz 05,us USA,3,0,0
Aaron Malouda,FW,19.0,Lille,fr FRA,1,0,0
Giorgi Mamardashvili,GK,24.0,Valencia,ge GEO,23,0,0
Dennis Man,"FW,MF",26.0,Parma,ro ROU,26,4,4
Hianga Mananga Mbock,MF,25.0,Brest,fr FRA,1,0,0
Gianluca Mancini,DF,28.0,Roma,it ITA,27,1,0
Steve Mandanda,GK,39.0,Rennes,fr FRA,17,0,0
Christos Mandas,GK,23.0,Lazio,gr GRE,1,0,0
Reinildo Mandava,DF,31.0,Atlético Madrid,mz MOZ,17,0,0
Aïssa Mandi,DF,33.0,Lille,dz ALG,18,0,0
Rolando Mandragora,MF,27.0,Fiorentina,it ITA,19,1,2
Orel Mangala,MF,26.0,Everton,be BEL,19,1,0
Orel Mangala,MF,26.0,Lyon,be BEL,1,0,0
Ryan Manning,DF,28.0,Southampton,ie IRL,16,0,0
Javier Manquillo,DF,30.0,Celta Vigo,es ESP,10,0,0
Johan Manzambi,"MF,FW",19.0,Freiburg,ch SUI,4,0,0
Alberto Manzoni,MF,19.0,Atalanta,it ITA,1,0,0
Sekou Mara,"FW,MF",22.0,Strasbourg,fr FRA,20,1,1
Alessandro Marcandalli,DF,22.0,Genoa,it ITA,2,0,0
Alessandro Marcandalli,DF,22.0,Venezia,it ITA,3,0,0
Marcão,DF,28.0,Sevilla,br BRA,11,0,0
Solly March,"MF,FW",30.0,Brighton,eng ENG,4,0,0
Filip Marchwiński,MF,23.0,Lecce,pl POL,1,0,0
Óscar de Marcos,DF,35.0,Athletic Club,es ESP,21,0,4
Alberto Marí,FW,23.0,Valencia,es ESP,1,0,0
Pablo Marí,DF,31.0,Monza,es ESP,19,0,0
Pablo Marí,DF,31.0,Fiorentina,es ESP,3,0,0
José María Giménez,DF,30.0,Atlético Madrid,uy URU,21,0,1
Luca Marianucci,DF,20.0,Empoli,it ITA,10,0,0
Mirko Marić,"FW,MF",29.0,Monza,hr CRO,8,0,0
Mirko Marić,FW,29.0,Venezia,hr CRO,5,0,0
Arkaitz Mariezkurrena,"MF,FW",19.0,Real Sociedad,es ESP,1,0,0
Rafa Marín,DF,22.0,Napoli,es ESP,1,0,0
Pablo Marín,MF,21.0,Real Sociedad,es ESP,12,0,1
Răzvan Marin,MF,28.0,Cagliari,ro ROU,25,3,2
Guillermo Maripán,DF,30.0,Torino,cl CHI,18,1,1
Mika Màrmol,DF,22.0,Las Palmas,es ESP,20,0,1
Omar Marmoush,"MF,FW",26.0,Manchester City,eg EGY,6,3,0
Omar Marmoush,FW,26.0,Eint Frankfurt,eg EGY,17,15,9
Mario Maroto,MF,21.0,Valladolid,es ESP,1,0,1
Marquinhos,DF,30.0,Paris S-G,br BRA,18,1,0
Unai Marrero,GK,23.0,Real Sociedad,es ESP,1,0,0
Ange Martial Tia,MF,18.0,Reims,ml MLI,1,0,0
Aarón Martín,DF,27.0,Genoa,es ESP,27,0,4
Carlos Martín,"FW,MF",22.0,Alavés,es ESP,18,2,2
Gerard Martín,DF,23.0,Barcelona,es ESP,16,1,1
Iván Martín,MF,26.0,Girona,es ESP,22,1,1
Jon Martin,DF,19.0,Real Sociedad,es ESP,6,0,1
Jonas Martin,MF,34.0,Brest,fr FRA,13,1,0
Mario Martín,MF,21.0,Valladolid,es ESP,22,0,1
Gabriel Martinelli,"FW,MF",23.0,Arsenal,br BRA,23,6,3
Arnau Martinez,"DF,MF",21.0,Girona,es ESP,22,2,2
Emiliano Martínez,GK,32.0,Aston Villa,ar ARG,28,0,0
Iñigo Martínez,DF,33.0,Barcelona,es ESP,20,0,2
Javi Martínez,MF,25.0,Osasuna,es ESP,1,0,0
Josep Martinez,GK,26.0,Inter,es ESP,3,0,0
Lautaro Martínez,FW,27.0,Inter,ar ARG,26,10,3
Lisandro Martínez,DF,27.0,Manchester Utd,ar ARG,20,2,1
Lucas Martínez Quarta,DF,28.0,Fiorentina,ar ARG,8,1,0
Ramón Martínez,DF,22.0,Sevilla,es ESP,1,0,0
Toni Martínez,FW,27.0,Alavés,es ESP,21,3,0
Kevin Martins,"MF,DF",20.0,Monza,it ITA,9,0,1
Javi Martón,"FW,MF",25.0,Athletic Club,es ESP,3,0,0
Adam Marušić,DF,32.0,Lazio,me MNE,25,3,0
Marvin,"DF,FW",24.0,Las Palmas,es ESP,12,0,0
Omar Mascarell,MF,32.0,Mallorca,gq EQG,23,0,0
Adam Masina,DF,31.0,Torino,ma MAR,20,1,2
Patrizio Masini,MF,24.0,Genoa,it ITA,16,1,0
Giorgos Masouras,"FW,MF",31.0,Bochum,gr GRE,5,2,0
Erhan Mašović,DF,26.0,Bochum,rs SRB,14,1,1
Han-Noah Massengo,MF,23.0,Auxerre,fr FRA,9,0,0
Clinton Mata,DF,32.0,Lyon,ao ANG,22,0,3
Jaime Mata,FW,36.0,Las Palmas,es ESP,22,0,0
Igor Matanovic,FW,21.0,Eint Frankfurt,hr CRO,15,1,0
Pape Matar Sarr,MF,22.0,Tottenham,sn SEN,27,3,2
Eliot Matazo,MF,23.0,Monaco,be BEL,3,0,0
Jean-Philippe Mateta,FW,27.0,Crystal Palace,fr FRA,27,12,2
Nemanja Matić,MF,36.0,Lyon,rs SRB,21,0,1
