name,position,age,club,nation,appearances,goals,assists
Mergim Berisha,"FW,MF",26.0,Hoffenheim,de GER,11,1,1
Adrian Bernabe,MF,23.0,Parma,es ESP,14,0,0
Marc Bernal,MF,17.0,Barcelona,es ESP,3,0,0
Bernardo,DF,29.0,Bochum,br BRA,15,0,0
Juan Bernat,"DF,MF",32.0,Villarreal,es ESP,10,0,1
Juan Bernat,MF,32.0,Getafe,es ESP,5,0,0
Maxime Bernauer,DF,26.0,Saint-Étienne,fr FRA,3,0,0
Antoine Bernede,"MF,FW",25.0,Hellas Verona,fr FRA,5,1,0
Alexander Bernhardsson,"MF,DF",26.0,Holstein Kiel,se SWE,10,2,1
Victor Bernth Kristiansen,DF,22.0,Leicester City,dk DEN,25,0,1
Matúš Bero,MF,29.0,Bochum,sk SVK,22,4,2
Juan Berrocal,DF,25.0,Getafe,es ESP,12,0,0
Dimitry Bertaud,GK,26.0,Montpellier,cd COD,3,0,0
Jan-Niklas Beste,"FW,MF",26.0,Freiburg,de GER,5,0,1
Beto,FW,27.0,Everton,gw GNB,20,6,0
Sam Beukema,DF,26.0,Bologna,nl NED,27,0,1
Alessandro Bianco,MF,22.0,Monza,it ITA,24,1,0
Alessandro Bianco,MF,22.0,Fiorentina,it ITA,1,0,0
Mika Biereth,FW,22.0,Monaco,dk DEN,8,10,2
Jaka Bijol,DF,26.0,Udinese,si SVN,25,1,0
El Bilal Touré,"FW,MF",23.0,Stuttgart,ml MLI,10,2,1
Philip Billing,MF,28.0,Bournemouth,dk DEN,10,0,0
Philip Billing,MF,28.0,Napoli,dk DEN,3,1,0
Cristiano Biraghi,DF,32.0,Torino,it ITA,5,0,0
Cristiano Biraghi,DF,32.0,Fiorentina,it ITA,8,1,0
Samuele Birindelli,"DF,MF",25.0,Monza,it ITA,11,2,0
Tom Bischof,"MF,FW",19.0,Hoffenheim,de GER,23,4,2
Yves Bissouma,MF,28.0,Tottenham,ml MLI,21,2,0
Leonardo Bittencourt,MF,31.0,Werder Bremen,de GER,18,2,0
Emmanuel Biumla,DF,19.0,Angers,fr FRA,16,1,0
Marco Bizot,GK,34.0,Brest,nl NED,24,0,0
Bjarki Bjarkason,"DF,MF",24.0,Venezia,is ISL,9,0,0
Antonio Blanco,MF,24.0,Alavés,es ESP,25,0,1
Ludovic Blas,"MF,FW",27.0,Rennes,fr FRA,24,6,7
Daley Blind,DF,35.0,Girona,nl NED,22,0,1
Myron Boadu,FW,24.0,Bochum,nl NED,11,7,1
Augustine Boakye,"FW,MF",24.0,Saint-Étienne,gh GHA,17,3,0
Mathéo Bodmer,MF,20.0,Le Havre,fr FRA,1,0,0
Sacha Boey,DF,24.0,Bayern Munich,fr FRA,9,0,1
Jeremie Boga,"MF,FW",28.0,Nice,ci CIV,15,0,2
Lamare Bogarde,"DF,MF",21.0,Aston Villa,nl NED,8,0,0
Emil Bohinen,MF,25.0,Genoa,no NOR,3,0,0
Adama Boiro,DF,22.0,Athletic Club,es ESP,12,0,0
Willy Boly,DF,34.0,Nott'ham Forest,ci CIV,5,0,0
Moïse Bombito,DF,24.0,Nice,ca CAN,20,0,0
Warren Bondo,MF,21.0,Monza,fr FRA,20,0,0
Warren Bondo,MF,21.0,Milan,fr FRA,1,0,0
Victor Boniface,FW,24.0,Leverkusen,ng NGA,14,7,1
Kevin Bonifazi,DF,28.0,Lecce,it ITA,3,0,0
Ange-Yoan Bonny,FW,21.0,Parma,fr FRA,27,5,2
Sebastiaan Bornauw,DF,25.0,Wolfsburg,be BEL,13,2,1
Sven Botman,DF,25.0,Newcastle Utd,nl NED,3,0,0
Saïmon Bouabré,"MF,FW",18.0,Monaco,fr FRA,2,0,0
Ayyoub Bouaddi,MF,17.0,Lille,fr FRA,20,0,1
Badredine Bouanani,"MF,FW",20.0,Nice,dz ALG,19,2,0
Benjamin Bouchouari,MF,23.0,Saint-Étienne,ma MAR,20,1,0
Hicham Boudaoui,MF,25.0,Nice,dz ALG,20,2,1
Carlo Boukhalfa,MF,25.0,St. Pauli,ma MAR,19,1,0
Justin Bourgault,DF,19.0,Brest,fr FRA,1,0,0
Benjamin Bourigeaud,MF,31.0,Rennes,fr FRA,1,1,0
